Index,X,Y,Distance_to_Next
0,0,0,1.4142135623731e+20
1,1e+20,1e+20,2.82842712474619e+20
2,-1e+20,-1e+20,1.4142135623731e+20
3,0,0,514.401594087732
4,420,297,514.401594087732
5,0,0,1
6,1,0,1.4142135623731
7,0,1,1
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,1
15,1,0,1.4142135623731
16,0,1,1
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,1.4142135623731e+20
24,1e+20,1e+20,2.82842712474619e+20
25,-1e+20,-1e+20,1.4142135623731e+20
26,0,0,514.401594087732
27,420,297,514.401594087732
28,0,0,0.650082837351195
29,0.599999074267544,0.250217517965211,0.325054644003374
30,0.281880042809462,0.18342827173251,0.20286409809499
31,0.0834497046644174,0.141247195412234,0.0580724552910345
32,0.140077684394328,0.154118946467861,0.143384746796802
33,0.280022127894881,0.185339746382397,0.00266562997569069
34,0.278105197819059,0.187192032065468,0.140449513074965
35,0.141025561481911,0.156610354141094,0.138929927412237
36,0.276131137283755,0.18898330763659,0.00266562997556068
37,0.274101887162487,0.190711811935671,0.196857000654825
38,0.0829024723143448,0.143856049552141,0.0610741138265349
39,0.142051083144452,0.159070819237058,0.134167802516539
40,0.272019442588316,0.1923758455182,0.00266562997569955
41,0.269885850996161,0.193973772326672,0.130827501782453
42,0.143153241101118,0.161497922656054,0.129108905673569
43,0.267703210106902,0.195504021298575,0.00266562997603733
44,0.265473665866466,0.196965087912076,0.125576934126742
45,0.144330951723532,0.163889278099532,0.0644620215646541
46,0.0822737162566227,0.14644646438137,0.188225020811838
47,0.263199410336256,0.19835553566395,0.00266562997564779
48,0.26088267953628,0.199673997482705,0.120048597061553
49,0.145583057101248,0.166242534415915,0.118146187865102
50,0.258525751247817,0.200919177073047,0.00266562997557057
51,0.256130942775144,0.202089850189623,0.114254718970426
52,0.146908326179073,0.168555377912298,0.112266615841104
53,0.253700608663621,0.203184865840285,0.180458501692384
54,0.0815640546770737,0.149015893035767,0.0702144936094762
55,0.148305455968966,0.170825534629103,0.108208115598745
56,0.251237138389115,0.204203147419548,0.0026656299756129
57,0.248742954005593,0.205143693764967,0.104043226451561
